{'nodes': 640, 'beta-norm': 10, 'epochs': 50, 'train-mse': 22.37384796142578, 'train-mse-bal': 4.026362895965576, 'majority-mse': 23.387487411499023, 'minority-mse': 23.362056732177734, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 2.570773124694824, 'train-mse-bal': 0.4008519649505615, 'majority-mse': 3.4468464851379395, 'minority-mse': 10.305261611938477, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 10, 'epochs': 50, 'train-mse': 5.223301410675049, 'train-mse-bal': 0.9682607650756836, 'majority-mse': 5.07096529006958, 'minority-mse': 5.877879619598389, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 0.982852041721344, 'train-mse-bal': 0.126699298620224, 'majority-mse': 2.6310014724731445, 'minority-mse': 13.286809921264648, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 10, 'epochs': 50, 'train-mse': 4.398430824279785, 'train-mse-bal': 0.8262882232666016, 'majority-mse': 4.412486553192139, 'minority-mse': 5.499895095825195, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 0.1328953206539154, 'train-mse-bal': 0.022569628432393074, 'majority-mse': 1.507349967956543, 'minority-mse': 15.023486137390137, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 1, 'epochs': 50, 'train-mse': 6.416202068328857, 'train-mse-bal': 1.2052825689315796, 'majority-mse': 5.650169849395752, 'minority-mse': 7.215376853942871, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 8.552468299865723, 'train-mse-bal': 1.4809061288833618, 'majority-mse': 7.934375286102295, 'minority-mse': 8.418473243713379, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 1, 'epochs': 50, 'train-mse': 5.107020854949951, 'train-mse-bal': 0.9046697020530701, 'majority-mse': 5.1299147605896, 'minority-mse': 5.969521999359131, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 4.674072742462158, 'train-mse-bal': 0.8659459948539734, 'majority-mse': 4.875284671783447, 'minority-mse': 6.950540065765381, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 1, 'epochs': 50, 'train-mse': 4.521291255950928, 'train-mse-bal': 0.8476503491401672, 'majority-mse': 4.596243858337402, 'minority-mse': 5.711071491241455, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 3.832913398742676, 'train-mse-bal': 0.6713095903396606, 'majority-mse': 4.392114639282227, 'minority-mse': 7.855449676513672, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 1, 'epochs': 50, 'train-mse': 4.23779821395874, 'train-mse-bal': 0.7785608172416687, 'majority-mse': 4.2997565269470215, 'minority-mse': 6.12209939956665, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 2.318106174468994, 'train-mse-bal': 0.3685963749885559, 'majority-mse': 3.443718910217285, 'minority-mse': 11.441176414489746, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 1, 'epochs': 50, 'train-mse': 4.155395030975342, 'train-mse-bal': 0.7429847121238708, 'majority-mse': 4.398491859436035, 'minority-mse': 6.452465534210205, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 0.916454017162323, 'train-mse-bal': 0.11755701899528503, 'majority-mse': 2.3718416690826416, 'minority-mse': 14.775468826293945, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 1, 'epochs': 50, 'train-mse': 3.8998653888702393, 'train-mse-bal': 0.7147666811943054, 'majority-mse': 4.197685241699219, 'minority-mse': 7.034804344177246, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 0.13323646783828735, 'train-mse-bal': 0.022261105477809906, 'majority-mse': 1.616745114326477, 'minority-mse': 16.63431167602539, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 10, 'epochs': 50, 'train-mse': 451.0381774902344, 'train-mse-bal': 83.19678497314453, 'majority-mse': 427.1087951660156, 'minority-mse': 466.64044189453125, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 306.23077392578125, 'train-mse-bal': 54.356101989746094, 'majority-mse': 295.60845947265625, 'minority-mse': 312.4692077636719, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 10, 'epochs': 50, 'train-mse': 268.1134948730469, 'train-mse-bal': 48.740177154541016, 'majority-mse': 252.70809936523438, 'minority-mse': 271.0105895996094, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 21.035978317260742, 'train-mse-bal': 3.5608468055725098, 'majority-mse': 21.25564193725586, 'minority-mse': 25.886096954345703, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 10, 'epochs': 50, 'train-mse': 114.84586334228516, 'train-mse-bal': 20.786190032958984, 'majority-mse': 106.89241027832031, 'minority-mse': 115.63417053222656, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 5.152672290802002, 'train-mse-bal': 0.8649461269378662, 'majority-mse': 5.848747253417969, 'minority-mse': 11.4811429977417, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 10, 'epochs': 50, 'train-mse': 19.290807723999023, 'train-mse-bal': 3.57733416557312, 'majority-mse': 18.813549041748047, 'minority-mse': 21.392831802368164, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 2.354715347290039, 'train-mse-bal': 0.36677321791648865, 'majority-mse': 3.4244327545166016, 'minority-mse': 12.358648300170898, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 10, 'epochs': 50, 'train-mse': 4.3129496574401855, 'train-mse-bal': 0.855306088924408, 'majority-mse': 4.142861843109131, 'minority-mse': 7.538445472717285, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 0.9300133585929871, 'train-mse-bal': 0.12698189914226532, 'majority-mse': 2.632750988006592, 'minority-mse': 15.318002700805664, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 10, 'epochs': 50, 'train-mse': 4.059919357299805, 'train-mse-bal': 0.7752306461334229, 'majority-mse': 4.249952793121338, 'minority-mse': 7.196267604827881, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 0.14769351482391357, 'train-mse-bal': 0.024104144424200058, 'majority-mse': 1.5893141031265259, 'minority-mse': 17.462661743164062, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 10, 'epochs': 50, 'train-mse': 350.3841857910156, 'train-mse-bal': 62.53257369995117, 'majority-mse': 376.88812255859375, 'minority-mse': 342.80865478515625, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 106.8718490600586, 'train-mse-bal': 18.0537109375, 'majority-mse': 113.71784210205078, 'minority-mse': 102.12236785888672, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 10, 'epochs': 50, 'train-mse': 298.4405517578125, 'train-mse-bal': 51.89055633544922, 'majority-mse': 313.6246337890625, 'minority-mse': 299.22540283203125, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 21.310585021972656, 'train-mse-bal': 3.630582332611084, 'majority-mse': 25.003448486328125, 'minority-mse': 23.664701461791992, 'trainable': 'last-layer'}
