{'nodes': 160, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 1.2843432426452637, 'train-mse-bal': 0.23165054619312286, 'majority-mse': 1.2542803287506104, 'minority-mse': 1.4293278455734253, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 160, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 1.1608822345733643, 'train-mse-bal': 0.19512628018856049, 'majority-mse': 1.2128971815109253, 'minority-mse': 1.9772093296051025, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 640, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 1.2924537658691406, 'train-mse-bal': 0.22351975739002228, 'majority-mse': 1.2927745580673218, 'minority-mse': 1.432772159576416, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 640, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.6613001227378845, 'train-mse-bal': 0.09445230662822723, 'majority-mse': 1.0816609859466553, 'minority-mse': 3.151876211166382, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 2560, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 1.214288592338562, 'train-mse-bal': 0.21414752304553986, 'majority-mse': 1.2206439971923828, 'minority-mse': 1.5658172369003296, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 2560, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.186183899641037, 'train-mse-bal': 0.02282567322254181, 'majority-mse': 0.7579918503761292, 'minority-mse': 4.198916912078857, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 1.1661123037338257, 'train-mse-bal': 0.20047205686569214, 'majority-mse': 1.2030143737792969, 'minority-mse': 1.6084258556365967, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.01142764464020729, 'train-mse-bal': 0.004251287318766117, 'majority-mse': 0.44102925062179565, 'minority-mse': 4.611405849456787, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 10, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 5.153407096862793, 'train-mse-bal': 0.8873606324195862, 'majority-mse': 5.16536808013916, 'minority-mse': 5.104414463043213, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 4.814399242401123, 'train-mse-bal': 0.8810654878616333, 'majority-mse': 4.743496894836426, 'minority-mse': 5.591974258422852, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.727570533752441, 'train-mse-bal': 0.8653370141983032, 'majority-mse': 4.660990238189697, 'minority-mse': 5.62681245803833, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 4.693687438964844, 'train-mse-bal': 0.8486581444740295, 'majority-mse': 4.560291290283203, 'minority-mse': 6.117000102996826, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 160, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.748562335968018, 'train-mse-bal': 0.8433462381362915, 'majority-mse': 4.721022605895996, 'minority-mse': 5.649981498718262, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 160, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 3.9977917671203613, 'train-mse-bal': 0.6971938014030457, 'majority-mse': 4.21318244934082, 'minority-mse': 8.59004020690918, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 640, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.406561374664307, 'train-mse-bal': 0.8033466339111328, 'majority-mse': 4.316865921020508, 'minority-mse': 6.308055400848389, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 640, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 2.5478382110595703, 'train-mse-bal': 0.3845551609992981, 'majority-mse': 3.303731679916382, 'minority-mse': 12.416284561157227, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 2560, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.339404106140137, 'train-mse-bal': 0.7766100168228149, 'majority-mse': 4.259242057800293, 'minority-mse': 6.755815505981445, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 2560, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.9285468459129333, 'train-mse-bal': 0.11629554629325867, 'majority-mse': 2.404320001602173, 'minority-mse': 15.73827075958252, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.187263488769531, 'train-mse-bal': 0.7513323426246643, 'majority-mse': 4.150529384613037, 'minority-mse': 7.228234767913818, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.1261608898639679, 'train-mse-bal': 0.021337179467082024, 'majority-mse': 1.529565691947937, 'minority-mse': 18.523122787475586, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
